"","S.No.","sofifa_id","short_name","long_name","Market_Value","Wages","age","pace","shooting","passing","dribbling","defending","physic","Mins_Total","Goals_total","Assists_Total","Shots_per_game_total","Yellow_Cards_Total","Red_Cards_Total","Aerial_Battles_Won_Per_Game_Total","Man_of_The_Match_Total","Player_international_reputation","weak_foot","Club_Int_Prestige","Club_Domestic_Prestige","Player_Continent","Club_Continent","preferred_foot","Position_Final","Clusters"
"1",1,190871,"Neymar Jr","Neymar da Silva Santos Junior",105.5,300,27,91,85,87,95,32,58,1976,20,9,7.200000286,4,0,0.699999988,11,5,5,9,10,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"2",2,158023,"L. Messi","Lionel Andrés Messi Cuccittini",95.5,575,32,87,92,92,96,39,66,3547,48,16,10.39999962,3,0,0.300000012,24,5,4,10,10,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",1
"3",3,231747,"K. Mbappé","Kylian Mbappé",93.5,150,20,96,84,78,90,39,75,3045,37,12,7.900000095,6,1,0.100000001,10,3,4,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"4",4,183277,"E. Hazard","Eden Hazard",90,475,28,91,83,86,94,35,66,3377,18,17,3.5,2,0,0.5,16,4,4,10,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"5",5,192985,"K. De Bruyne","Kevin De Bruyne",90,375,28,76,86,92,86,61,78,1225,2,6,3.399999857,2,0,0.800000012,2,4,5,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"6",6,202126,"H. Kane","Harry Kane",83,225,25,70,91,79,81,47,83,3205,22,5,7.199999809,6,0,3.899999857,7,3,4,7,8,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"7",7,209331,"M. Salah","Mohamed  Salah Ghaly",80.5,225,27,93,86,81,89,45,74,4320,27,10,7.900000095,2,0,0.699999988,8,3,3,10,9,"Africa","Europe Tier 1","Left","Attacking Midfield,Forward",1
"8",8,203376,"V. van Dijk","Virgil van Dijk",78,200,27,77,60,70,71,90,86,4465,6,4,1.600000024,4,0,8.199999809,4,3,3,10,9,"Europe","Europe Tier 1","Right","Defense",1
"9",9,211110,"P. Dybala","Paulo Bruno Exequiel Dybala",76.5,225,25,83,82,84,90,43,64,2657,10,4,4.5,3,0,0.200000003,5,3,3,10,10,"South America","Europe Tier 1","Left","Attacking Midfield,Forward",1
"10",10,202652,"R. Sterling","Raheem Sterling",73,250,24,93,79,78,89,45,57,3648,22,12,4.599999905,4,0,0.699999988,9,3,3,9,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"11",11,195864,"P. Pogba","Paul Pogba",72.5,250,26,74,81,86,85,66,86,3742,15,10,4.700000286,6,1,3.100000143,8,4,4,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"12",12,194765,"A. Griezmann","Antoine Griezmann",69,375,28,81,86,84,89,57,72,3924,19,11,5.899999619,7,0,2.100000143,7,4,3,10,10,"Europe","Europe Tier 1","Left","Attacking Midfield,Forward",1
"13",13,190460,"C. Eriksen","Christian  Dannemann Eriksen",68,200,27,73,81,90,84,53,63,3775,10,16,4.699999809,3,0,0.600000024,3,3,5,7,8,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"14",14,201024,"K. Koulibaly","Kalidou Koulibaly",67.5,150,28,71,28,54,67,89,87,4124,2,2,2.399999857,13,1,6.900000095,2,3,3,7,9,"Africa","Europe Tier 1","Right","Defense",1
"15",15,215914,"N. Kanté","N'Golo Kanté",66,225,28,78,65,77,81,87,83,3676,4,4,1,4,0,0.900000036,1,3,3,7,8,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"16",16,188545,"R. Lewandowski","Robert Lewandowski",64.5,225,30,77,87,74,85,41,82,3673,30,7,7.699999809,2,0,4.300000191,7,4,4,9,10,"Europe","Europe Tier 1","Right","Forward",1
"17",17,218667,"Bernardo Silva","Bernardo Mota Veiga de Carvalho e Silva",64,200,24,81,76,83,92,51,67,3431,11,8,3.200000048,3,0,0.400000006,4,2,3,9,10,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"18",18,208722,"S. Mané","Sadio Mané",62,225,27,94,83,77,89,44,74,4238,26,2,4.300000191,4,0,2.399999857,8,3,4,10,9,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"19",19,222492,"L. Sané","Leroy Sané",61,190,23,95,81,79,86,38,70,2262,14,14,3.299999952,1,0,0.400000006,3,2,3,9,10,"Europe","Europe Tier 1","Left","Midfield (Attacking/Defensive)",1
"20",20,153079,"S. Agüero","Sergio Leonel Agüero del Castillo",60,300,31,80,90,77,88,33,74,2990,27,9,7.900000095,5,0,1.399999976,6,4,4,9,10,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"21",21,200104,"H. Son","H. Son",60,180,26,88,86,80,87,42,68,2955,16,7,5.199999809,5,1,0.400000006,4,3,5,7,8,"Asia","Europe Tier 1","Right","Attacking Midfield,Forward",1
"22",22,20801,"Cristiano Ronaldo","Cristiano Ronaldo dos Santos Aveiro",58.5,400,34,90,93,82,89,35,78,3438,27,10,11,4,1,3.100000143,12,5,4,10,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"23",23,182521,"T. Kroos","Toni Kroos",57,325,29,45,80,90,81,70,69,2872,1,6,2.600000143,3,0,1.400000095,3,4,5,10,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"24",24,188567,"P. Aubameyang","Pierre-Emerick Aubameyang",57,200,30,94,85,75,80,37,69,3668,30,7,6.5,1,0,2.199999809,7,3,4,7,7,"Africa","Europe Tier 1","Right","Attacking Midfield,Forward",1
"25",25,212218,"A. Laporte","Aymeric  Laporte",56.5,190,25,64,50,71,68,88,82,3939,5,3,1.299999952,4,0,4.800000191,1,2,3,9,10,"Europe","Europe Tier 1","Left","Defense",1
"26",26,188350,"M. Reus","Marco Reus",56,170,30,85,88,84,87,45,66,2846,18,9,4.300000191,4,1,1.5,6,4,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"27",27,189511,"Sergio Busquets","Sergio Busquets i Burgos",55,300,30,42,62,80,80,85,80,3755,0,2,0.5,13,0,2.799999952,0,4,3,10,10,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"28",28,199556,"M. Verratti","Marco Verratti",54.5,140,26,65,60,84,90,79,66,2488,0,2,0.400000006,9,0,0.5,1,3,4,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield",1
"29",29,200145,"Casemiro","Carlos Henrique Venancio Casimiro",53.5,225,27,62,72,75,72,85,89,2821,4,0,2.200000048,5,1,5,4,3,3,10,10,"South America","Europe Tier 1","Right","Defensive Midfield",1
"30",30,176580,"L. Suárez","Luis Alberto Suárez Díaz",53,350,32,73,89,80,84,51,84,3730,22,9,7.199999809,8,0,1.5,5,5,4,10,10,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"31",31,228702,"F. de Jong","Frenkie de Jong",52,190,22,79,64,84,87,76,76,3503,3,3,1.399999976,2,0,2.800000191,2,3,3,10,10,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"32",32,201942,"Roberto Firmino","Roberto Firmino Barbosa de Oliveira",52,170,27,77,82,80,87,61,78,3368,16,7,3.600000143,0,0,1.5,4,3,4,10,9,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
"33",33,198219,"L. Insigne","Lorenzo Insigne",52,140,28,89,79,85,91,35,47,2889,14,6,9.300000191,7,1,0.600000024,3,3,4,7,9,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"35",35,207865,"Marquinhos","Marcos  Aoás Corrêa",51.5,120,25,74,41,73,70,86,77,3325,4,1,0.800000012,4,1,3.199999809,0,3,3,9,10,"South America","Europe Tier 1","Right","Defensive Midfield,Defense",1
"36",36,197781,"Isco","Francisco Román Alarcón Suárez",51,250,27,71,77,83,91,59,60,1439,4,2,2.900000095,4,0,0.300000012,1,3,3,10,10,"Europe","Europe Tier 1","Right","Attacking Midfield,Forward",1
"37",37,223848,"S. Milinkovic-Savic","Sergej Milinkovic-Savic",50.5,70,24,67,79,80,83,77,84,2708,5,3,3.899999857,9,1,6.199999809,2,2,4,6,7,"Europe","Europe Tier 1","Right","Attacking Midfield",1
"39",39,189509,"Thiago","Thiago Alcântara do Nascimento",50,180,28,69,74,85,90,69,63,2797,2,7,1.600000024,6,0,2.600000143,3,3,3,9,10,"Europe","Europe Tier 1","Right","Midfield (Attacking/Defensive)",1
"40",40,235243,"M. de Ligt","Matthijs de Ligt",50,80,19,67,58,66,68,83,84,3960,5,1,3,3,0,8.100000381,3,3,4,10,10,"Europe","Europe Tier 1","Right","Defense",1
"41",41,208421,"Saúl","Saúl Ñíguez Esclápez",49.5,80,24,70,78,79,81,78,78,3556,5,1,3.399999857,11,0,5.300000191,5,3,4,9,9,"Europe","Europe Tier 1","Left","Defensive Midfield,Defense",1
"42",42,212198,"Bruno Fernandes","Bruno Miguel Borges Fernandes",49,20,24,77,83,87,85,65,74,3645,23,14,5.599999905,12,0,1.5,10,2,4,4,9,"Europe","Europe Tier 2","Right","Midfield (Attacking/Defensive)",1
"43",43,212622,"J. Kimmich","Joshua Kimmich",48,120,24,72,69,86,84,79,78,3690,2,15,1.299999952,7,0,1.599999905,4,3,4,9,10,"Europe","Europe Tier 1","Right","Defensive Midfield,Defense",1
"44",44,179813,"E. Cavani","Edinson Roberto Cavani Gómez",47,190,32,75,86,72,79,55,83,2091,20,6,4.200000286,1,0,0.300000012,2,4,4,9,10,"South America","Europe Tier 1","Right","Attacking Midfield,Forward",1
